410451870036HEX,1 7/8 X 36.00'' C1045 COLD FINISHED HEXAGON BAR,4MAT
410451870144HEX,1 7/8 X 12' C1045 COLD FINISHED HEXAGON BAR,4MAT
410452000240,2'' CR1045 X 20' ROUND,4MAT
41045200144SQ,2'' X 2'' X 12' SQUARE BAR C1045,4MAT
410452250216,2.250 CR1045 (2 1/4-4 1/2) X 18' ROUND,4MAT
410452250288,2.250 CR1045 (2 1/4-4 1/2) X 24' ROUND,4MAT
41045235144,2.350 CR1045 (2 1/2-4 ACME) X 12' ROUND,4MAT
410454000120,4.00'' CR1045 X 10' ROUND,4MAT
410820800240,2.09'' ROUND CR 1018 x 12'   ( 2.100 - 2.098 ),4MAT
411170783192,.783 CR 1117 (7/8-6 ACME) X 16',4MAT
411410500144,1/2 1141 CR X 12' Round,4MAT
411410620144,5/8 1141 CR X 12' Round,4MAT
411410750144,3/4 1141 CR X 12' Round,4MAT
411410870144,7/8 1141 CR X 12' Round,4MAT
411440075240,"0.75'' dia. x 20' C1144 STRESSRELIEF ROUND   +.000/-.002
YEILD = 115,000 psi     TENSILE = 130,000 psi",4MAT
411440187144,1 7/8'' x 12 FOOT 1144 STRESSPROOF,4MAT
411440375144SR,.375 C1144 X 12' Stress Relief Round,4MAT
411440677144,0.677 dia. X 12' C1144  ROUND   +.003/-.000,4MAT
41144075144,"0.75 dia. X 12' C1144 STRESSPROOF ROUND   +.000/-.002
YEILD = 115,000 psi     TENSILE = 130,000 psi",4MAT
41144075144-SP,"0.75 dia. X 12' C1144 STRESSPROOF ROUND   +.000/-.002
YEILD = 115,000 psi     TENSILE = 130,000 psi",4MAT
411440826144,.826 CR 1144 (7/8-14UNF)  X 12' ROUND +.000/-.002,4MAT
41144100144,1.00'' X 12'-0'' 1144 MATERIAL,4MAT
41144100240,1.00'' X 20'-0'' 1144 MATERIAL,4MAT
411441125144,1.125 CR 1144 X 12' ROUND,4MAT
411441150288,1.150 X 24'' ( 1 1/4-7 ) 1144 CD ROUND,4MAT
411441250144SR,"1.250 CR 1144 X 12' STRESSRELIEF ROUND   +.000/-.002
YEILD=115,000 psi     TENSILE=130,000 psi",4MAT
411441387144,1.387 CR 1144 X 12' ROUND,4MAT
411441500036HEX,"1 1/2 X 3' COLD FINISH HEXAGON BAR STRESSPROOF (A311 CLASS B, GR. 1144)",4MAT
411441500144HEX,"1 1/2 X 12' COLD FINISH HEXAGON BAR STRESSPROOF (A311 CLASS B, GR 1144)
(ORANGE ENDS)",4MAT
411441620144HEX,"1 5/8 x 12' COLD FINISH HEXAGON BAR STRESSPROOF (A311 CLASS B, GR 1144)  (ORANGE ENDS)",4MAT
411442250144,"2.25'' dia. x 12' C1144 STRESSPROOF ROUND +.000/-.002
YEILD = 90,000 psi     TENSILE = 108,000 psi",4MAT
411GAX26X27,11GA. 26'' X 27'' FLAT SHEET,4MAT
41214-22500144HEX,2 1/4 x 12' HEXAGON COLD FINISH 12L14 / 1214 / 1215,4MAT
41215-0175144RD,1-3/4 x 12' 1215 ROUND BAR,4MAT
41215-0500036RD,1/2 X 3' ROUND COLD FINISH 1215,4MAT
41215-0500144RD,1/2  X 12' ROUND COLD FINISH 1215,4MAT
41215-0500500144SQ,1/2 X 1/2  X 12' STEEL SQUARE COLD FINISH 1215,4MAT
412150677168,.677 CR 1215 (3/4-8) x 168'' ROUND,4MAT
41215-0687144HEX,11/16'' x 12' HEX BAR 1215,4MAT
4121508120144,13/16 C1215 x 12'  ROUND,4MAT
41215087144HEX,7/8 x 12' HEX 1215,4MAT
412151000144,1'' CR 1215 X 12',4MAT
412151125144,1 1/8'' CR 1215 X 12',4MAT
41215-12500144HEX,1 1/4 X 12' HEXAGON BAR 1215,4MAT
41215-16250144HEX,1 5/8 X 12' HEXAGON COLD FINISH 1215,4MAT
41215-20000144HEX,2 X 12' HEXAGON COLD FINISH 1215,4MAT
41215-23750144HEX,2 3/8 X 12' HEXAGON COLD FINISH 12L14,4MAT
41215-2750144HEX,2 3/4 X 12' COLD FINISH HEXAGON BAR 1215,4MAT
412152870144,2 7/8 x 12' 1215 COLD DRAWN ROUND,4MAT
412152870240,2 7/8'' CR 1018 x 20' ROUND,4MAT
412153000144,3'' ROUND x 12' 1215,4MAT
4121535000144,3 1/2'' C1215 x 12'  ROUND,4MAT
412L14-0620620144SQ,5/8 X 5/8  X 12' STEEL SQUARE COLD FINISH 12L14,4MAT
412L14-1000100144SQ,1'' x 1''  X 12' STEEL SQUARE COLD FINISH 12L14,4MAT
412L14-106144HEX,1 1/16 X 12' 12L14 HEX BAR,4MAT
412L14-125144HEX,1 1/4 X 12' 12L14 HEX BAR,4MAT
412L141437144HEX,1 7/16 X 12' 12L14 HEX,4MAT
412L14-16250144HEX,1 5/8 X 12' HEXAGON COLD FINISH 12L14,4MAT
412L14-18120144HEX,1 13/16 X 12' HEXAGON COLD FINISH 12L14,4MAT
412L14-20000144HEX,2 X 12' HEXAGON COLD FINISH 12L14,4MAT
412L14-21870144HEX,2 3/16 X 12' HEXAGON COLD FINISH 12L14,4MAT
412L14-23750144HEX,2 3/8 X 12' HEXAGON COLD FINISH 12L14,4MAT
412L14-27500144HEX,2 3/4 X 12' HEXAGON COLD FINISH 12L14,4MAT
412L14-300144,3'' x 12' 12L14 ROUND,4MAT
412L14-350144,3.5'' X 12' 12L14 ROUND,4MAT
